dt,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
0.02,slow_observer,22.0,0.9999999670436103,2.7022727272727276,False,-0.992169662961373,True
0.02,slow_observer,22.0,0.9999999670436103,2.7636363636363637,False,-1.0374081663976762,True
0.02,slow_observer,22.0,0.9999999670436103,2.825,False,-1.0826466698339776,True
0.02,slow_observer,22.0,0.9999999670436103,2.8863636363636367,False,-1.1278851732702815,True
0.02,slow_observer,22.0,0.9999999670436103,2.947727272727273,False,-1.1731236767065842,True
0.02,slow_observer,22.0,0.9999999670436103,3.0090909090909097,False,-1.2183621801428872,True
0.02,slow_observer,22.0,0.9999999670436103,3.0704545454545453,False,-1.2636006835791895,True
0.02,slow_observer,22.0,0.9999999670436103,3.131818181818182,False,-1.3088391870154912,True
0.02,slow_observer,22.0,0.9999999670436103,3.1931818181818183,False,-1.3540776904517928,True
0.02,slow_observer,22.0,0.9999999670436103,3.254545454545455,False,-1.3993161938880954,True
0.02,slow_observer,22.0,0.9999999670436103,3.3159090909090914,False,-1.4445546973244006,True
0.02,slow_observer,22.0,0.9999999670436103,3.377272727272728,False,-1.4897932007607015,True
0.02,slow_observer,22.0,0.9999999670436103,3.4386363636363644,False,-1.5350317041970056,True
0.02,slow_observer,22.0,0.9999999670436103,3.5,False,-1.5802702076333086,True
0.02,slow_observer,24.0,0.9999995028898631,0.8,True,0.41022377967291423,False
0.02,slow_observer,24.0,0.9999995028898631,0.8613636363636364,True,0.3649852762366146,False
0.02,slow_observer,24.0,0.9999995028898631,0.9227272727272728,True,0.31974677280030944,True
0.02,slow_observer,24.0,0.9999995028898631,0.9840909090909091,True,0.27450826936400735,True
0.02,slow_observer,24.0,0.9999995028898631,1.0454545454545454,True,0.2292697659277048,True
0.02,slow_observer,24.0,0.9999995028898631,1.106818181818182,True,0.18403126249140322,True
0.02,slow_observer,24.0,0.9999995028898631,1.1681818181818182,True,0.13879275905509966,True
0.02,slow_observer,24.0,0.9999995028898631,1.2295454545454545,True,0.09355425561879759,True
0.02,slow_observer,24.0,0.9999995028898631,1.290909090909091,True,0.048315752182493496,True
0.02,slow_observer,24.0,0.9999995028898631,1.3522727272727275,True,0.003077248746191562,True
0.02,slow_observer,24.0,0.9999995028898631,1.4136363636363638,True,-0.042161254690111435,True
0.02,slow_observer,24.0,0.9999995028898631,1.475,True,-0.08739975812641346,True
0.02,slow_observer,24.0,0.9999995028898631,1.5363636363636366,True,-0.13263826156271527,True
0.02,slow_observer,24.0,0.9999995028898631,1.5977272727272729,True,-0.1778767649990192,True
0.02,slow_observer,24.0,0.9999995028898631,1.6590909090909092,True,-0.22311526843532217,True
0.02,slow_observer,24.0,0.9999995028898631,1.7204545454545457,True,-0.2683537718716243,True
0.02,slow_observer,24.0,0.9999995028898631,1.781818181818182,True,-0.31359227530792744,True
0.02,slow_observer,24.0,0.9999995028898631,1.8431818181818183,True,-0.3588307787442296,True
0.02,slow_observer,24.0,0.9999995028898631,1.9045454545454548,True,-0.40406928218053206,True
0.02,slow_observer,24.0,0.9999995028898631,1.965909090909091,True,-0.4493077856168344,True
0.02,slow_observer,24.0,0.9999995028898631,2.0272727272727273,True,-0.4945462890531366,True
0.02,slow_observer,24.0,0.9999995028898631,2.088636363636364,True,-0.5397847924894394,True
0.02,slow_observer,24.0,0.9999995028898631,2.1500000000000004,True,-0.5850232959257415,True
0.02,slow_observer,24.0,0.9999995028898631,2.211363636363637,True,-0.6302617993620446,True
0.02,slow_observer,24.0,0.9999995028898631,2.272727272727273,True,-0.6755003027983473,True
0.02,slow_observer,24.0,0.9999995028898631,2.334090909090909,True,-0.7207388062346495,True
0.02,slow_observer,24.0,0.9999995028898631,2.3954545454545455,True,-0.7659773096709526,True
