probe_sigma,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
4.5,slow_observer,276.0,0.40668373183505047,1.4136363636363638,True,-0.2537789674879422,True
4.5,slow_observer,276.0,0.40668373183505047,1.475,True,-0.2989551790398993,True
4.5,slow_observer,276.0,0.40668373183505047,1.5363636363636366,True,-0.344139147848141,True
4.5,slow_observer,276.0,0.40668373183505047,1.5977272727272729,True,-0.3893298517474561,True
4.5,slow_observer,276.0,0.40668373183505047,1.6590909090909092,True,-0.43452055564677095,True
4.5,slow_observer,276.0,0.40668373183505047,1.7204545454545457,True,-0.479720953404396,True
4.5,slow_observer,276.0,0.40668373183505047,1.781818181818182,True,-0.5249246469154693,True
4.5,slow_observer,276.0,0.40668373183505047,1.8431818181818183,True,-0.5701283404265426,True
4.5,slow_observer,276.0,0.40668373183505047,1.9045454545454548,True,-0.6153351476763809,True
4.5,slow_observer,276.0,0.40668373183505047,1.965909090909091,True,-0.6605503441952549,True
4.5,slow_observer,276.0,0.40668373183505047,2.0272727272727273,True,-0.7057655407141276,True
4.5,slow_observer,276.0,0.40668373183505047,2.088636363636364,True,-0.7509807372330024,True
4.5,slow_observer,276.0,0.40668373183505047,2.1500000000000004,True,-0.7961959337518763,True
4.5,slow_observer,276.0,0.40668373183505047,2.211363636363637,False,-0.8414193612365524,True
4.5,slow_observer,276.0,0.40668373183505047,2.272727272727273,False,-0.8866445903966568,True
4.5,slow_observer,276.0,0.40668373183505047,2.334090909090909,False,-0.9318698195567608,True
4.5,slow_observer,276.0,0.40668373183505047,2.3954545454545455,False,-0.9770950487168658,True
4.5,slow_observer,276.0,0.40668373183505047,2.456818181818182,False,-1.0223202778769704,True
4.5,slow_observer,276.0,0.40668373183505047,2.5181818181818185,False,-1.0675455070370754,True
4.5,slow_observer,276.0,0.40668373183505047,2.579545454545455,False,-1.1127786287201675,True
4.5,slow_observer,276.0,0.40668373183505047,2.640909090909091,False,-1.1580124364906301,True
4.5,slow_observer,276.0,0.40668373183505047,2.7022727272727276,False,-1.2032462442610892,True
4.5,slow_observer,276.0,0.40668373183505047,2.7636363636363637,False,-1.2484800520315515,True
4.5,slow_observer,276.0,0.40668373183505047,2.825,False,-1.2937138598020126,True
4.5,slow_observer,276.0,0.40668373183505047,2.8863636363636367,False,-1.3389476675724745,True
4.5,slow_observer,276.0,0.40668373183505047,2.947727272727273,False,-1.3841814753429356,True
4.5,slow_observer,276.0,0.40668373183505047,3.0090909090909097,False,-1.4294152831133986,True
4.5,slow_observer,276.0,0.40668373183505047,3.0704545454545453,False,-1.4746542667113882,True
4.5,slow_observer,276.0,0.40668373183505047,3.131818181818182,False,-1.5198952154879712,True
4.5,slow_observer,276.0,0.40668373183505047,3.1931818181818183,False,-1.5651361642645543,True
4.5,slow_observer,276.0,0.40668373183505047,3.254545454545455,False,-1.610377113041136,True
4.5,slow_observer,276.0,0.40668373183505047,3.3159090909090914,False,-1.6556180618177196,True
4.5,slow_observer,276.0,0.40668373183505047,3.377272727272728,False,-1.7008590105943024,True
4.5,slow_observer,276.0,0.40668373183505047,3.4386363636363644,False,-1.7460999593708855,True
4.5,slow_observer,276.0,0.40668373183505047,3.5,False,-1.7913409081474667,True
4.5,slow_observer,278.0,0.4449793564408473,0.8,True,0.21128234122576692,True
4.5,slow_observer,278.0,0.4449793564408473,0.8613636363636364,True,0.166229771723569,True
4.5,slow_observer,278.0,0.4449793564408473,0.9227272727272728,True,0.12114997726261562,True
4.5,slow_observer,278.0,0.4449793564408473,0.9840909090909091,True,0.07604755154267231,True
4.5,slow_observer,278.0,0.4449793564408473,1.0454545454545454,True,0.03092702483258881,True
4.5,slow_observer,278.0,0.4449793564408473,1.106818181818182,True,-0.014207136685911809,True
4.5,slow_observer,278.0,0.4449793564408473,1.1681818181818182,True,-0.059350531528274804,True
4.5,slow_observer,278.0,0.4449793564408473,1.2295454545454545,True,-0.10451073197888106,True
4.5,slow_observer,278.0,0.4449793564408473,1.290909090909091,True,-0.1496750350233309,True
4.5,slow_observer,278.0,0.4449793564408473,1.3522727272727275,True,-0.19485124657528818,True
4.5,slow_observer,278.0,0.4449793564408473,1.4136363636363638,True,-0.24002914987108057,True
4.5,slow_observer,278.0,0.4449793564408473,1.475,True,-0.2852198537703951,True
4.5,slow_observer,278.0,0.4449793564408473,1.5363636363636366,True,-0.33041055766971156,True
4.5,slow_observer,278.0,0.4449793564408473,1.5977272727272729,True,-0.375607857187449,True
4.5,slow_observer,278.0,0.4449793564408473,1.6590909090909092,True,-0.42081155069852283,True
4.5,slow_observer,278.0,0.4449793564408473,1.7204545454545457,True,-0.4660152442095972,True
4.5,slow_observer,278.0,0.4449793564408473,1.781818181818182,True,-0.5112218882924913,True
4.5,slow_observer,278.0,0.4449793564408473,1.8431818181818183,True,-0.5564370848113657,True
4.5,slow_observer,278.0,0.4449793564408473,1.9045454545454548,True,-0.6016522813302388,True
4.5,slow_observer,278.0,0.4449793564408473,1.965909090909091,True,-0.6468674778491132,True
4.5,slow_observer,278.0,0.4449793564408473,2.0272727272727273,True,-0.6920836121873409,True
4.5,slow_observer,278.0,0.4449793564408473,2.088636363636364,True,-0.7373088413474449,True
4.5,slow_observer,278.0,0.4449793564408473,2.1500000000000004,True,-0.7825340705075501,True
4.5,slow_observer,278.0,0.4449793564408473,2.211363636363637,False,-0.8277592996676555,True
4.5,slow_observer,278.0,0.4449793564408473,2.272727272727273,False,-0.8729845288277596,True
4.5,slow_observer,278.0,0.4449793564408473,2.334090909090909,False,-0.918209757987863,True
4.5,slow_observer,278.0,0.4449793564408473,2.3954545454545455,False,-0.963439910609167,True
4.5,slow_observer,278.0,0.4449793564408473,2.456818181818182,False,-1.0086737183796288,True
4.5,slow_observer,278.0,0.4449793564408473,2.5181818181818185,False,-1.0539075261500899,True
4.5,slow_observer,278.0,0.4449793564408473,2.579545454545455,False,-1.099141333920552,True
4.5,slow_observer,278.0,0.4449793564408473,2.640909090909091,False,-1.1443751416910124,True
4.5,slow_observer,278.0,0.4449793564408473,2.7022727272727276,False,-1.1896089494614743,True
4.5,slow_observer,278.0,0.4449793564408473,2.7636363636363637,False,-1.2348427572319358,True
4.5,slow_observer,278.0,0.4449793564408473,2.825,False,-1.2800765650023966,True
4.5,slow_observer,278.0,0.4449793564408473,2.8863636363636367,False,-1.32531685440669,True
4.5,slow_observer,278.0,0.4449793564408473,2.947727272727273,False,-1.3705578031832732,True
4.5,slow_observer,278.0,0.4449793564408473,3.0090909090909097,False,-1.415798751959856,True
4.5,slow_observer,278.0,0.4449793564408473,3.0704545454545453,False,-1.4610397007364382,True
4.5,slow_observer,278.0,0.4449793564408473,3.131818181818182,False,-1.5062806495130205,True
4.5,slow_observer,278.0,0.4449793564408473,3.1931818181818183,False,-1.551521598289603,True
4.5,slow_observer,278.0,0.4449793564408473,3.254545454545455,False,-1.5967625470661875,True
4.5,slow_observer,278.0,0.4449793564408473,3.3159090909090914,False,-1.6420034958427698,True
4.5,slow_observer,278.0,0.4449793564408473,3.377272727272728,False,-1.6872444446193517,True
4.5,slow_observer,278.0,0.4449793564408473,3.4386363636363644,False,-1.7324853933959363,True
4.5,slow_observer,278.0,0.4449793564408473,3.5,False,-1.7777263421725173,True
4.5,slow_observer,280.0,0.4808031882733162,0.8,True,0.22427989410401145,True
4.5,slow_observer,280.0,0.4808031882733162,0.8613636363636364,True,0.17920228477546812,True
4.5,slow_observer,280.0,0.4808031882733162,0.9227272727272728,True,0.1341004834004196,True
4.5,slow_observer,280.0,0.4808031882733162,0.9840909090909091,True,0.0889790355249268,True
4.5,slow_observer,280.0,0.4808031882733162,1.0454545454545454,True,0.043842422759715984,True
4.5,slow_observer,280.0,0.4808031882733162,1.106818181818182,True,-0.0013049378376538505,True
4.5,slow_observer,280.0,0.4808031882733162,1.1681818181818182,True,-0.04646513828826169,True
4.5,slow_observer,280.0,0.4808031882733162,1.2295454545454545,True,-0.0916349058867614,True
4.5,slow_observer,280.0,0.4808031882733162,1.290909090909091,True,-0.13681111743871852,True
4.5,slow_observer,280.0,0.4808031882733162,1.3522727272727275,True,-0.18199596824979247,True
4.5,slow_observer,280.0,0.4808031882733162,1.4136363636363638,True,-0.22718667214910784,True
4.5,slow_observer,280.0,0.4808031882733162,1.475,True,-0.2723793965728668,True
4.5,slow_observer,280.0,0.4808031882733162,1.5363636363636366,True,-0.3175830900839404,True
4.5,slow_observer,280.0,0.4808031882733162,1.5977272727272729,True,-0.3627867835950142,True
4.5,slow_observer,280.0,0.4808031882733162,1.6590909090909092,True,-0.40799179011829545,True
4.5,slow_observer,280.0,0.4808031882733162,1.7204545454545457,True,-0.4532069866371696,True
4.5,slow_observer,280.0,0.4808031882733162,1.781818181818182,True,-0.49842218315604236,True
4.5,slow_observer,280.0,0.4808031882733162,1.8431818181818183,True,-0.5436373796749175,True
4.5,slow_observer,280.0,0.4808031882733162,1.9045454545454548,True,-0.5888547815725774,True
4.5,slow_observer,280.0,0.4808031882733162,1.965909090909091,True,-0.6340800107326827,True
4.5,slow_observer,280.0,0.4808031882733162,2.0272727272727273,True,-0.6793052398927877,True
4.5,slow_observer,280.0,0.4808031882733162,2.088636363636364,True,-0.7245304690528903,True
4.5,slow_observer,280.0,0.4808031882733162,2.1500000000000004,True,-0.7697556982129958,True
4.5,slow_observer,280.0,0.4808031882733162,2.211363636363637,False,-0.8149814122903869,True
4.5,slow_observer,280.0,0.4808031882733162,2.272727272727273,False,-0.8602152200608477,True
4.5,slow_observer,280.0,0.4808031882733162,2.334090909090909,False,-0.9054490278313103,True
4.5,slow_observer,280.0,0.4808031882733162,2.3954545454545455,False,-0.9506828356017705,True
4.5,slow_observer,280.0,0.4808031882733162,2.456818181818182,False,-0.9959166433722317,True
4.5,slow_observer,280.0,0.4808031882733162,2.5181818181818185,False,-1.0411504511426932,True
