noise_strength,observer,current_time,current_v,probe_auc,recovery_probability,mean_future_v_min,std_future_v_min
0.05,slow_observer,160.0,-1.3255680624824175,0.9285714285714286,0.3333333333333333,-1.325644143829,0.0001701230627782943
0.05,slow_observer,160.0,-1.3255680624824175,1.0571428571428572,0.16666666666666666,-1.3256441438922455,0.00017012320419907965
0.05,slow_observer,160.0,-1.3255680624824175,1.185714285714286,0.16666666666666666,-1.3256441439554907,0.00017012334561978225
0.05,slow_observer,160.0,-1.3255680624824175,1.3142857142857145,0.16666666666666666,-1.325644144018736,0.00017012348704056757
0.05,slow_observer,160.0,-1.3255680624824175,1.442857142857143,0.0,-1.3256441440819815,0.0001701236284613529
0.05,slow_observer,160.0,-1.3255680624824175,1.5714285714285716,0.0,-1.3256441441452267,0.00017012376988205548
0.05,slow_observer,160.0,-1.3255680624824175,1.7000000000000002,0.0,-1.325644144208472,0.0001701239113028408
0.05,slow_observer,160.0,-1.3255680624824175,1.8285714285714287,0.0,-1.325644144271717,0.00017012405272362618
0.05,slow_observer,160.0,-1.3255680624824175,1.9571428571428573,0.0,-1.3277961819706683,0.004780984223856848
0.05,slow_observer,160.0,-1.3255680624824175,2.085714285714286,0.0,-1.3627558143600567,0.036771997110922626
0.05,slow_observer,160.0,-1.3255680624824175,2.2142857142857144,0.0,-1.4544331228345486,0.03984289822661459
0.05,slow_observer,160.0,-1.3255680624824175,2.3428571428571434,0.0,-1.54865643304921,0.04010252405585911
0.05,slow_observer,160.0,-1.3255680624824175,2.4714285714285715,0.0,-1.6429006832086321,0.04038495524729077
0.05,slow_observer,160.0,-1.3255680624824175,2.6000000000000005,0.0,-1.7371837809473372,0.04065515367467146
0.05,slow_observer,160.0,-1.3255680624824175,2.7285714285714286,0.0,-1.8317135568396106,0.04078707637055748
0.05,slow_observer,160.0,-1.3255680624824175,2.8571428571428577,0.0,-1.9262744232793552,0.04090103286220741
0.05,slow_observer,160.0,-1.3255680624824175,2.9857142857142858,0.0,-2.020859508094134,0.041001378069607866
0.05,slow_observer,160.0,-1.3255680624824175,3.1142857142857148,0.0,-2.115444592908914,0.04110290596101789
0.05,slow_observer,160.0,-1.3255680624824175,3.242857142857143,0.0,-2.2100296777236945,0.04120560779427564
0.05,slow_observer,160.0,-1.3255680624824175,3.371428571428572,0.0,-2.304614762538474,0.041309474813568545
0.05,slow_observer,160.0,-1.3255680624824175,3.5,0.0,-2.3991998473532545,0.041414498252083216
0.05,slow_observer,168.0,-0.7867176967783021,0.8,0.3333333333333333,-0.7874815553927492,0.0010807574814271181
0.05,slow_observer,168.0,-0.7867176967783021,0.9285714285714286,0.3333333333333333,-0.787481555582485,0.0010807576155288086
0.05,slow_observer,168.0,-0.7867176967783021,1.0571428571428572,0.3333333333333333,-0.7874815557722208,0.0010807577496304772
0.05,slow_observer,168.0,-0.7867176967783021,1.185714285714286,0.3333333333333333,-0.7874815559619567,0.0010807578837321622
0.05,slow_observer,168.0,-0.7867176967783021,1.3142857142857145,0.3333333333333333,-0.7874815561516927,0.0010807580178338644
0.05,slow_observer,168.0,-0.7867176967783021,1.442857142857143,0.0,-0.7874815563414285,0.0010807581519356219
0.05,slow_observer,168.0,-0.7867176967783021,1.5714285714285716,0.0,-0.8288399892518972,0.030697424757495047
0.05,slow_observer,168.0,-0.7867176967783021,1.7000000000000002,0.0,-0.9213110948618866,0.03208859428361473
0.05,slow_observer,168.0,-0.7867176967783021,1.8285714285714287,0.0,-1.0152236679842623,0.03142847201487898
0.05,slow_observer,168.0,-0.7867176967783021,1.9571428571428573,0.0,-1.1092864931302373,0.030985417775351975
0.05,slow_observer,168.0,-0.7867176967783021,2.085714285714286,0.0,-1.2034435579828175,0.03067305998857024
0.05,slow_observer,168.0,-0.7867176967783021,2.2142857142857144,0.0,-1.2976813969588405,0.030384949059411612
0.05,slow_observer,168.0,-0.7867176967783021,2.3428571428571434,0.0,-1.3919580268567415,0.030153943986928947
0.05,slow_observer,168.0,-0.7867176967783021,2.4714285714285715,0.0,-1.4862490247839109,0.029925531694553455
0.05,slow_observer,168.0,-0.7867176967783021,2.6000000000000005,0.0,-1.580621690031693,0.0297215329893518
0.05,slow_observer,168.0,-0.7867176967783021,2.7285714285714286,0.0,-1.6749943552794726,0.0295199276758583
0.05,slow_observer,168.0,-0.7867176967783021,2.8571428571428577,0.0,-1.7693670205272547,0.02932076512395305
0.05,slow_observer,168.0,-0.7867176967783021,2.9857142857142858,0.0,-1.8637396857750355,0.02912409544750785
0.05,slow_observer,168.0,-0.7867176967783021,3.1142857142857148,0.0,-1.9581123510228167,0.0289299694872353
0.05,slow_observer,168.0,-0.7867176967783021,3.242857142857143,0.0,-2.0524850162705977,0.028738438791009582
0.05,slow_observer,168.0,-0.7867176967783021,3.371428571428572,0.0,-2.1468576815183784,0.028549555591500877
0.05,slow_observer,168.0,-0.7867176967783021,3.5,0.0,-2.241230346766159,0.02836337278101939
0.05,slow_observer,176.0,-0.42368734981869244,0.8,0.5,-0.42412012409703115,0.0007057636997648562
0.05,slow_observer,176.0,-0.42368734981869244,0.9285714285714286,0.5,-0.42412012442848407,0.0007057640450480255
0.05,slow_observer,176.0,-0.42368734981869244,1.0571428571428572,0.5,-0.42412012475993704,0.0007057643903313589
0.05,slow_observer,176.0,-0.42368734981869244,1.185714285714286,0.3333333333333333,-0.42412012509138997,0.0007057647356148527
0.05,slow_observer,176.0,-0.42368734981869244,1.3142857142857145,0.16666666666666666,-0.4872656896206837,0.014365886968377733
0.05,slow_observer,176.0,-0.42368734981869244,1.442857142857143,0.16666666666666666,-0.5815914996817684,0.01414015611058496
0.05,slow_observer,176.0,-0.42368734981869244,1.5714285714285716,0.0,-0.6759173097428538,0.013921073819040062
0.05,slow_observer,176.0,-0.42368734981869244,1.7000000000000002,0.0,-0.7702431198039384,0.013708958848817225
0.05,slow_observer,176.0,-0.42368734981869244,1.8285714285714287,0.0,-0.8645689298650234,0.013504139519491913
0.05,slow_observer,176.0,-0.42368734981869244,1.9571428571428573,0.0,-0.9589195532877627,0.013258535531883225
0.05,slow_observer,176.0,-0.42368734981869244,2.085714285714286,0.0,-1.0533408439367449,0.012976164282970493
0.05,slow_observer,176.0,-0.42368734981869244,2.2142857142857144,0.0,-1.1477726244193702,0.012702800993194499
0.05,slow_observer,176.0,-0.42368734981869244,2.3428571428571434,0.0,-1.2422044049019967,0.01243676843082252
0.05,slow_observer,176.0,-0.42368734981869244,2.4714285714285715,0.0,-1.3366361853846216,0.012178547010470647
0.05,slow_observer,176.0,-0.42368734981869244,2.6000000000000005,0.0,-1.4310679658672474,0.011928644010352447
0.05,slow_observer,176.0,-0.42368734981869244,2.7285714285714286,0.0,-1.5255295898859058,0.011699073146764829
0.05,slow_observer,176.0,-0.42368734981869244,2.8571428571428577,0.0,-1.620099736921549,0.011516386475908446
0.05,slow_observer,176.0,-0.42368734981869244,2.9857142857142858,0.0,-1.7146698839571923,0.011336320023645634
0.05,slow_observer,176.0,-0.42368734981869244,3.1142857142857148,0.0,-1.8092400309928347,0.011159000633633709
0.05,slow_observer,176.0,-0.42368734981869244,3.242857142857143,0.0,-1.9038101780284775,0.010984561340866068
0.05,slow_observer,176.0,-0.42368734981869244,3.371428571428572,0.0,-1.9983886824171304,0.010816464682877185
0.05,slow_observer,176.0,-0.42368734981869244,3.5,0.0,-2.0930133331686958,0.010696547373924361
0.05,slow_observer,184.0,-1.2155127722405288,0.8,0.16666666666666666,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,0.9285714285714286,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.0571428571428572,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.185714285714286,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.3142857142857145,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.442857142857143,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.5714285714285716,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.7000000000000002,0.0,-1.2155127722405288,0.0
0.05,slow_observer,184.0,-1.2155127722405288,1.8285714285714287,0.0,-1.2186689953305996,0.007057529381552496
0.05,slow_observer,184.0,-1.2155127722405288,1.9571428571428573,0.0,-1.273100915045709,0.03005667231993341
0.05,slow_observer,184.0,-1.2155127722405288,2.085714285714286,0.0,-1.366531031635261,0.03026869306819919
0.05,slow_observer,184.0,-1.2155127722405288,2.2142857142857144,0.0,-1.460192005683001,0.03041429066984402
0.05,slow_observer,184.0,-1.2155127722405288,2.3428571428571434,0.0,-1.554224979121451,0.03042443743400585
0.05,slow_observer,184.0,-1.2155127722405288,2.4714285714285715,0.0,-1.6483393746308568,0.030435625205055064
0.05,slow_observer,184.0,-1.2155127722405288,2.6000000000000005,0.0,-1.742492256176467,0.03045257335696567
0.05,slow_observer,184.0,-1.2155127722405288,2.7285714285714286,0.0,-1.8366654434601521,0.03049004562800602
0.05,slow_observer,184.0,-1.2155127722405288,2.8571428571428577,0.0,-1.9308448719645002,0.030539147882366193
